capacity,errorRate,m,k,insertTime,checkTime,hits,insertCount,falsePositives,testSize,falsePositiveRate
1000000,0.100000,4,4,1.730840464s,1.547521534s,1000000,1000000,40,1000,4.00
1000000,0.090909,4,4,1.513855071s,1.283353718s,1000000,1000000,46,1000,4.60
1000000,0.082645,4,4,1.447987533s,1.309567224s,1000000,1000000,47,1000,4.70
1000000,0.075131,5,4,1.422374154s,1.253070686s,1000000,1000000,36,1000,3.60
1000000,0.068301,5,4,1.447355321s,1.421629211s,1000000,1000000,30,1000,3.00
1000000,0.062092,5,5,1.509482618s,1.29054436s,1000000,1000000,25,1000,2.50
1000000,0.056447,5,5,1.511850348s,1.345795037s,1000000,1000000,23,1000,2.30
1000000,0.051316,5,5,1.515492608s,1.291879943s,1000000,1000000,34,1000,3.40
1000000,0.046651,6,5,1.46078752s,1.32263236s,1000000,1000000,27,1000,2.70
1000000,0.042410,6,5,1.530317767s,1.492577622s,1000000,1000000,21,1000,2.10
1000000,0.038554,6,5,1.555309725s,1.334350659s,1000000,1000000,14,1000,1.40
1000000,0.035049,6,5,1.499993222s,1.538311471s,1000000,1000000,20,1000,2.00
1000000,0.031863,6,5,1.598704484s,1.914556999s,1000000,1000000,14,1000,1.40
1000000,0.028966,7,6,1.701008615s,1.33761941s,1000000,1000000,15,1000,1.50
1000000,0.026333,7,6,1.565124858s,1.353452695s,1000000,1000000,9,1000,0.90
1000000,0.023939,7,6,1.589325283s,1.657055958s,1000000,1000000,10,1000,1.00
1000000,0.021763,7,6,1.662784917s,1.413039099s,1000000,1000000,13,1000,1.30
1000000,0.019784,7,6,1.652276726s,1.443227672s,1000000,1000000,9,1000,0.90
1000000,0.017986,7,6,1.635414887s,1.505368045s,1000000,1000000,4,1000,0.40
1000000,0.016351,8,6,1.830820285s,1.578547646s,1000000,1000000,15,1000,1.50
1000000,0.014864,8,7,1.69796711s,1.448833408s,1000000,1000000,2,1000,0.20
1000000,0.013513,8,7,1.63850006s,1.665651433s,1000000,1000000,8,1000,0.80
1000000,0.012285,8,7,1.81567416s,1.741288769s,1000000,1000000,5,1000,0.50
1000000,0.011168,8,7,1.907806499s,1.474993644s,1000000,1000000,4,1000,0.40
1000000,0.010153,9,7,1.76192033s,1.511671202s,1000000,1000000,7,1000,0.70
1000000,0.009230,9,7,1.6696206s,1.608036726s,1000000,1000000,6,1000,0.60
1000000,0.008391,9,7,1.56359955s,1.333227s,1000000,1000000,5,1000,0.50
1000000,0.007628,9,8,1.555112857s,1.355858737s,1000000,1000000,4,1000,0.40
1000000,0.006934,9,8,1.580950547s,1.329978019s,1000000,1000000,5,1000,0.50
1000000,0.006304,10,8,1.495849178s,1.327819028s,1000000,1000000,3,1000,0.30
1000000,0.005731,10,8,1.530805558s,1.590618017s,1000000,1000000,7,1000,0.70
1000000,0.005210,10,8,1.817919258s,1.734778343s,1000000,1000000,1,1000,0.10
1000000,0.004736,10,8,1.867484012s,1.341133282s,1000000,1000000,1,1000,0.10
1000000,0.004306,10,8,1.614120011s,1.3502266s,1000000,1000000,0,1000,0.00
1000000,0.003914,11,8,1.533239651s,1.364930636s,1000000,1000000,2,1000,0.20
1000000,0.003558,11,9,1.533540941s,1.477052089s,1000000,1000000,1,1000,0.10
1000000,0.003235,11,9,1.818014665s,1.310270498s,1000000,1000000,0,1000,0.00
1000000,0.002941,11,9,1.503376363s,1.407843036s,1000000,1000000,2,1000,0.20
1000000,0.002673,11,9,1.528581974s,1.405574271s,1000000,1000000,1,1000,0.10
1000000,0.002430,11,9,1.676567666s,1.398136037s,1000000,1000000,1,1000,0.10
1000000,0.002209,12,9,1.586895245s,1.364199863s,1000000,1000000,0,1000,0.00
1000000,0.002009,12,9,1.57395079s,1.352871261s,1000000,1000000,2,1000,0.20
1000000,0.001826,12,10,1.52965829s,1.447807279s,1000000,1000000,1,1000,0.10
1000000,0.001660,12,10,1.521103747s,1.446595885s,1000000,1000000,1,1000,0.10
1000000,0.001509,12,10,1.525924287s,1.341222915s,1000000,1000000,0,1000,0.00
1000000,0.001372,13,10,1.560864194s,1.435223154s,1000000,1000000,0,1000,0.00
1000000,0.001247,13,10,1.584015983s,1.430043707s,1000000,1000000,0,1000,0.00
1000000,0.001134,13,10,1.535494092s,1.3410166s,1000000,1000000,0,1000,0.00
1000000,0.001031,13,10,1.639026051s,1.464923894s,1000000,1000000,1,1000,0.10
1000000,0.000937,13,11,1.837205817s,1.365178002s,1000000,1000000,0,1000,0.00
1000000,0.000852,14,11,1.805180927s,1.50154815s,1000000,1000000,0,1000,0.00
1000000,0.000774,14,11,1.706369588s,1.683633857s,1000000,1000000,0,1000,0.00
1000000,0.000704,14,11,1.674610105s,1.410733609s,1000000,1000000,1,1000,0.10
1000000,0.000640,14,11,1.828621781s,1.477111139s,1000000,1000000,0,1000,0.00
1000000,0.000582,14,11,1.907333674s,1.595489446s,1000000,1000000,0,1000,0.00
1000000,0.000529,14,11,2.032170215s,1.546272731s,1000000,1000000,1,1000,0.10
1000000,0.000481,15,12,1.844689911s,1.624029085s,1000000,1000000,1,1000,0.10
1000000,0.000437,15,12,2.140156434s,1.748268649s,1000000,1000000,0,1000,0.00
1000000,0.000397,15,12,1.652506483s,1.560468265s,1000000,1000000,0,1000,0.00
1000000,0.000361,15,12,1.983729421s,1.411409202s,1000000,1000000,0,1000,0.00
1000000,0.000328,15,12,1.872689991s,1.36303396s,1000000,1000000,0,1000,0.00
1000000,0.000299,16,12,1.955026913s,1.471847669s,1000000,1000000,1,1000,0.10
1000000,0.000271,16,12,1.646810783s,1.589716022s,1000000,1000000,0,1000,0.00
1000000,0.000247,16,12,2.161284848s,1.439453438s,1000000,1000000,0,1000,0.00
1000000,0.000224,16,13,1.75386166s,1.467783832s,1000000,1000000,0,1000,0.00
1000000,0.000204,16,13,1.609550444s,1.577250014s,1000000,1000000,0,1000,0.00
1000000,0.000185,17,13,1.674380207s,1.453106297s,1000000,1000000,0,1000,0.00
1000000,0.000169,17,13,2.662982217s,1.788403797s,1000000,1000000,0,1000,0.00
1000000,0.000153,17,13,1.993007306s,1.731128728s,1000000,1000000,0,1000,0.00
1000000,0.000139,17,13,1.779649251s,1.526414308s,1000000,1000000,0,1000,0.00
1000000,0.000127,17,13,1.64394056s,1.634179887s,1000000,1000000,0,1000,0.00
1000000,0.000115,18,14,2.002662208s,1.531433175s,1000000,1000000,0,1000,0.00
1000000,0.000105,18,14,1.696860634s,1.524100845s,1000000,1000000,0,1000,0.00
1000000,0.000095,18,14,2.217131413s,1.489830759s,1000000,1000000,0,1000,0.00
1000000,0.000086,18,14,1.81947146s,1.4953486s,1000000,1000000,0,1000,0.00
1000000,0.000079,18,14,1.718768575s,1.551820157s,1000000,1000000,0,1000,0.00
1000000,0.000071,18,14,1.749172859s,1.549913462s,1000000,1000000,0,1000,0.00
1000000,0.000065,19,14,1.699014619s,1.650823397s,1000000,1000000,1,1000,0.10
1000000,0.000059,19,15,1.719093126s,1.510393149s,1000000,1000000,0,1000,0.00
1000000,0.000054,19,15,1.663199526s,1.506577425s,1000000,1000000,0,1000,0.00
1000000,0.000049,19,15,1.692722838s,1.871975179s,1000000,1000000,0,1000,0.00
1000000,0.000044,19,15,1.809300258s,1.526039844s,1000000,1000000,0,1000,0.00
1000000,0.000040,20,15,1.66948469s,1.471618751s,1000000,1000000,0,1000,0.00
1000000,0.000037,20,15,1.862944253s,1.533157988s,1000000,1000000,0,1000,0.00
1000000,0.000033,20,15,1.771412734s,1.489345051s,1000000,1000000,0,1000,0.00
1000000,0.000030,20,16,1.779476285s,2.266974574s,1000000,1000000,0,1000,0.00
1000000,0.000028,20,16,2.587695258s,2.334768702s,1000000,1000000,0,1000,0.00
1000000,0.000025,21,16,2.018620692s,1.574126202s,1000000,1000000,0,1000,0.00
1000000,0.000023,21,16,2.227965651s,1.641862203s,1000000,1000000,0,1000,0.00
1000000,0.000021,21,16,1.770988283s,1.470659819s,1000000,1000000,0,1000,0.00
1000000,0.000019,21,16,1.829660537s,1.829147224s,1000000,1000000,0,1000,0.00
1000000,0.000017,21,16,2.120696609s,1.926998458s,1000000,1000000,0,1000,0.00
1000000,0.000016,21,16,1.974397642s,1.582977316s,1000000,1000000,0,1000,0.00
1000000,0.000014,22,17,1.908950949s,1.471554071s,1000000,1000000,0,1000,0.00
1000000,0.000013,22,17,1.709292711s,1.450569642s,1000000,1000000,0,1000,0.00
1000000,0.000012,22,17,1.712662345s,1.433083389s,1000000,1000000,0,1000,0.00
1000000,0.000011,22,17,1.698569294s,1.583144952s,1000000,1000000,0,1000,0.00
10000,0.001000,0,10,2.522794ms,4.135342ms,1000,1000,0,1000,0.00
10000,0.001000,0,10,4.115656ms,5.609721ms,2000,2000,0,1000,0.00
10000,0.001000,0,10,5.47262ms,6.844459ms,3000,3000,0,1000,0.00
10000,0.001000,0,10,6.688159ms,7.485188ms,4000,4000,0,1000,0.00
10000,0.001000,0,10,7.113889ms,8.681875ms,5000,5000,0,1000,0.00
10000,0.001000,0,10,11.639659ms,10.974448ms,6000,6000,0,1000,0.00
10000,0.001000,0,10,9.761418ms,12.283697ms,7000,7000,0,1000,0.00
10000,0.001000,0,10,12.741056ms,14.827127ms,8000,8000,0,1000,0.00
10000,0.001000,0,10,14.207266ms,14.227696ms,9000,9000,0,1000,0.00
10000,0.001000,0,10,14.525056ms,14.770168ms,10000,10000,1,1000,0.10
10000,0.001000,0,10,16.027756ms,16.082551ms,11000,11000,1,1000,0.10
10000,0.001000,0,10,17.516476ms,17.953315ms,12000,12000,1,1000,0.10
10000,0.001000,0,10,19.880611ms,19.328442ms,13000,13000,1,1000,0.10
10000,0.001000,0,10,20.438765ms,20.974668ms,14000,14000,1,1000,0.10
10000,0.001000,0,10,22.31875ms,21.988755ms,15000,15000,1,1000,0.10
