capacity,errorRate,m,k,insertTime,checkTime,hits,insertCount,falsePositives,testSize,falsePositiveRate
100000,0.1000,468.0205,4,149.328668ms,148.513303ms,100000,100000,40,1000,0.0400
100000,0.0952,477.9375,4,140.851297ms,135.673168ms,100000,100000,47,1000,0.0470
100000,0.0907,487.8545,4,154.004524ms,131.266811ms,100000,100000,48,1000,0.0480
100000,0.0864,497.7725,4,145.195067ms,123.220006ms,100000,100000,49,1000,0.0490
100000,0.0823,507.6895,4,139.728985ms,132.130363ms,100000,100000,47,1000,0.0470
100000,0.0784,517.6064,4,143.561305ms,125.538359ms,100000,100000,36,1000,0.0360
100000,0.0746,527.5234,4,133.619099ms,140.140353ms,100000,100000,33,1000,0.0330
100000,0.0711,537.4404,4,136.044476ms,130.391599ms,100000,100000,38,1000,0.0380
100000,0.0677,547.3574,4,141.975345ms,133.902658ms,100000,100000,37,1000,0.0370
100000,0.0645,557.2744,4,134.715066ms,128.416098ms,100000,100000,42,1000,0.0420
100000,0.0614,567.1914,5,144.830198ms,129.835554ms,100000,100000,37,1000,0.0370
100000,0.0585,577.1084,5,137.25076ms,132.807915ms,100000,100000,32,1000,0.0320
100000,0.0557,587.0254,5,143.368213ms,137.356016ms,100000,100000,26,1000,0.0260
100000,0.0530,596.9424,5,139.149658ms,131.47786ms,100000,100000,23,1000,0.0230
100000,0.0505,606.8594,5,152.124593ms,125.221864ms,100000,100000,29,1000,0.0290
100000,0.0481,616.7764,5,141.825356ms,127.301119ms,100000,100000,18,1000,0.0180
100000,0.0458,626.6934,5,140.215861ms,133.069587ms,100000,100000,29,1000,0.0290
100000,0.0436,636.6104,5,135.948529ms,126.529445ms,100000,100000,22,1000,0.0220
100000,0.0416,646.5273,5,143.454628ms,126.233523ms,100000,100000,23,1000,0.0230
100000,0.0396,656.4443,5,136.847299ms,133.298276ms,100000,100000,30,1000,0.0300
100000,0.0377,666.3613,5,136.320106ms,131.628527ms,100000,100000,19,1000,0.0190
100000,0.0359,676.2783,5,144.304911ms,125.523334ms,100000,100000,23,1000,0.0230
100000,0.0342,686.1953,5,140.501589ms,133.318352ms,100000,100000,17,1000,0.0170
100000,0.0326,696.1123,5,138.137673ms,128.819996ms,100000,100000,17,1000,0.0170
100000,0.0310,706.0293,6,140.821141ms,125.879416ms,100000,100000,11,1000,0.0110
100000,0.0295,715.9463,6,140.369628ms,132.726341ms,100000,100000,11,1000,0.0110
100000,0.0281,725.8633,6,142.281867ms,132.5578ms,100000,100000,19,1000,0.0190
100000,0.0268,735.7803,6,139.019098ms,131.683404ms,100000,100000,18,1000,0.0180
100000,0.0255,745.6973,6,145.040216ms,126.534236ms,100000,100000,12,1000,0.0120
100000,0.0243,755.6143,6,148.376936ms,127.256841ms,100000,100000,13,1000,0.0130
100000,0.0231,765.5312,6,141.825517ms,130.361724ms,100000,100000,11,1000,0.0110
100000,0.0220,775.4482,6,146.804108ms,126.827309ms,100000,100000,12,1000,0.0120
100000,0.0210,785.3652,6,145.457301ms,138.647832ms,100000,100000,6,1000,0.0060
100000,0.0200,795.2832,6,144.914877ms,131.692628ms,100000,100000,12,1000,0.0120
100000,0.0190,805.2002,6,139.59937ms,128.4445ms,100000,100000,13,1000,0.0130
100000,0.0181,815.1172,6,140.962575ms,131.855023ms,100000,100000,6,1000,0.0060
100000,0.0173,825.0342,6,145.708972ms,126.263183ms,100000,100000,10,1000,0.0100
100000,0.0164,834.9512,6,142.150031ms,134.252692ms,100000,100000,4,1000,0.0040
100000,0.0157,844.8682,6,143.583077ms,134.63357ms,100000,100000,8,1000,0.0080
100000,0.0149,854.7852,7,139.842243ms,132.388611ms,100000,100000,10,1000,0.0100
100000,0.0142,864.7021,7,144.905532ms,128.81599ms,100000,100000,8,1000,0.0080
100000,0.0135,874.6191,7,148.341546ms,135.976455ms,100000,100000,7,1000,0.0070
100000,0.0129,884.5361,7,151.779398ms,137.629184ms,100000,100000,13,1000,0.0130
100000,0.0123,894.4531,7,146.920359ms,224.309293ms,100000,100000,11,1000,0.0110
100000,0.0117,904.3701,7,201.611949ms,136.253736ms,100000,100000,8,1000,0.0080
100000,0.0111,914.2871,7,160.02242ms,130.63284ms,100000,100000,4,1000,0.0040
100000,0.0106,924.2041,7,161.483198ms,148.889536ms,100000,100000,2,1000,0.0020
100000,0.0101,934.1211,7,144.855537ms,133.281387ms,100000,100000,4,1000,0.0040
100000,0.0096,944.0381,7,144.909269ms,138.303366ms,100000,100000,6,1000,0.0060
100000,0.0092,953.9551,7,192.771676ms,130.078909ms,100000,100000,4,1000,0.0040
100000,0.0087,963.8721,7,172.964486ms,139.70545ms,100000,100000,6,1000,0.0060
100000,0.0083,973.7891,7,156.002451ms,151.239324ms,100000,100000,6,1000,0.0060
100000,0.0079,983.7061,7,143.188976ms,142.035563ms,100000,100000,4,1000,0.0040
100000,0.0075,993.6230,8,146.624573ms,137.73813ms,100000,100000,3,1000,0.0030
100000,0.0072,1003.5400,8,149.179355ms,133.106575ms,100000,100000,3,1000,0.0030
100000,0.0068,1013.4570,8,140.123972ms,130.97598ms,100000,100000,4,1000,0.0040
100000,0.0065,1023.3740,8,150.94225ms,131.082983ms,100000,100000,3,1000,0.0030
100000,0.0062,1033.2910,8,149.036867ms,134.54327ms,100000,100000,5,1000,0.0050
100000,0.0059,1043.2080,8,143.664208ms,132.751053ms,100000,100000,5,1000,0.0050
100000,0.0056,1053.1250,8,147.604719ms,133.772827ms,100000,100000,5,1000,0.0050
100000,0.0054,1063.0420,8,141.471107ms,131.249495ms,100000,100000,3,1000,0.0030
100000,0.0051,1072.9590,8,146.006804ms,136.896509ms,100000,100000,2,1000,0.0020
100000,0.0049,1082.8760,8,170.527144ms,126.810677ms,100000,100000,3,1000,0.0030
100000,0.0046,1092.7939,8,147.639017ms,130.284261ms,100000,100000,5,1000,0.0050
100000,0.0044,1102.7109,8,148.553403ms,133.429519ms,100000,100000,2,1000,0.0020
100000,0.0042,1112.6279,8,150.49895ms,129.525645ms,100000,100000,4,1000,0.0040
100000,0.0040,1122.5449,8,140.735103ms,133.226721ms,100000,100000,2,1000,0.0020
100000,0.0038,1132.4619,9,158.101628ms,131.549948ms,100000,100000,2,1000,0.0020
100000,0.0036,1142.3789,9,153.968693ms,128.014819ms,100000,100000,2,1000,0.0020
100000,0.0035,1152.2959,9,144.38449ms,131.974133ms,100000,100000,0,1000,0.0000
100000,0.0033,1162.2129,9,148.276224ms,143.519915ms,100000,100000,2,1000,0.0020
100000,0.0031,1172.1299,9,145.349946ms,133.918633ms,100000,100000,1,1000,0.0010
100000,0.0030,1182.0469,9,139.69495ms,148.975017ms,100000,100000,0,1000,0.0000
100000,0.0028,1191.9639,9,150.451141ms,129.070396ms,100000,100000,1,1000,0.0010
100000,0.0027,1201.8809,9,151.538418ms,133.335164ms,100000,100000,2,1000,0.0020
100000,0.0026,1211.7979,9,149.131543ms,133.022682ms,100000,100000,2,1000,0.0020
100000,0.0025,1221.7148,9,146.190408ms,132.572597ms,100000,100000,0,1000,0.0000
100000,0.0023,1231.6318,9,150.591038ms,137.869086ms,100000,100000,1,1000,0.0010
100000,0.0022,1241.5488,9,138.739805ms,136.58403ms,100000,100000,0,1000,0.0000
100000,0.0021,1251.4658,9,147.621451ms,133.952229ms,100000,100000,1,1000,0.0010
100000,0.0020,1261.3828,9,149.805471ms,130.638203ms,100000,100000,1,1000,0.0010
100000,0.0019,1271.2998,10,156.137928ms,125.76029ms,100000,100000,1,1000,0.0010
100000,0.0018,1281.2168,10,148.195786ms,139.248661ms,100000,100000,2,1000,0.0020
100000,0.0017,1291.1338,10,145.005284ms,142.677406ms,100000,100000,0,1000,0.0000
100000,0.0017,1301.0508,10,157.817583ms,136.439022ms,100000,100000,0,1000,0.0000
100000,0.0016,1310.9678,10,143.915497ms,138.00488ms,100000,100000,0,1000,0.0000
100000,0.0015,1320.8848,10,150.075661ms,129.210332ms,100000,100000,2,1000,0.0020
