capacity,errorRate,m,k,insertTime,checkTime,hits,insertCount,falsePositives,testSize,falsePositiveRate
10000,0.0010,140.4062,10,2.728997ms,4.764236ms,1000,1000,0,1000,0.0000
10000,0.0010,140.4062,10,5.972443ms,6.288063ms,2000,2000,0,1000,0.0000
10000,0.0010,140.4062,10,6.797464ms,8.088171ms,3000,3000,0,1000,0.0000
10000,0.0010,140.4062,10,8.922488ms,9.366563ms,4000,4000,0,1000,0.0000
10000,0.0010,140.4062,10,10.553093ms,9.557101ms,5000,5000,0,1000,0.0000
10000,0.0010,140.4062,10,10.765168ms,9.263209ms,6000,6000,0,1000,0.0000
10000,0.0010,140.4062,10,10.708375ms,10.994519ms,7000,7000,0,1000,0.0000
10000,0.0010,140.4062,10,12.043413ms,13.022554ms,8000,8000,0,1000,0.0000
10000,0.0010,140.4062,10,16.271657ms,18.407912ms,9000,9000,0,1000,0.0000
10000,0.0010,140.4062,10,25.352261ms,21.313392ms,10000,10000,1,1000,0.0010
10000,0.0010,140.4062,10,21.378239ms,15.423154ms,11000,11000,1,1000,0.0010
10000,0.0010,140.4062,10,16.982356ms,17.066448ms,12000,12000,1,1000,0.0010
10000,0.0010,140.4062,10,19.018698ms,20.607116ms,13000,13000,1,1000,0.0010
10000,0.0010,140.4062,10,20.6879ms,19.751651ms,14000,14000,1,1000,0.0010
10000,0.0010,140.4062,10,23.3217ms,21.381528ms,15000,15000,1,1000,0.0010
10000,0.0010,140.4062,10,23.434913ms,23.969477ms,16000,16000,1,1000,0.0010
10000,0.0010,140.4062,10,26.475802ms,28.102527ms,17000,17000,1,1000,0.0010
10000,0.0010,140.4062,10,33.361818ms,25.632517ms,18000,18000,1,1000,0.0010
10000,0.0010,140.4062,10,27.668814ms,26.433849ms,19000,19000,1,1000,0.0010
10000,0.0010,140.4062,10,29.229072ms,27.334544ms,20000,20000,1,1000,0.0010
