capacity,errorRate,m,k,insertTime,checkTime,hits,insertCount,falsePositives,testSize,falsePositiveRate
100000,0.100000000000,468.0205,4,173.858756ms,137.250184ms,100000,100000,40,1000,0.0400
100000,0.010000000000,936.0410,7,146.868463ms,146.412111ms,100000,100000,2,1000,0.0020
100000,0.001000000000,1404.0615,10,149.966428ms,143.862642ms,100000,100000,0,1000,0.0000
100000,0.000100000000,1872.0820,14,158.10337ms,141.875157ms,100000,100000,0,1000,0.0000
100000,0.000010000000,2340.1025,17,157.245061ms,154.553969ms,100000,100000,0,1000,0.0000
100000,0.000001000000,2808.1230,20,172.074969ms,150.212241ms,100000,100000,0,1000,0.0000
100000,0.000000100000,3276.1436,24,267.077195ms,146.678444ms,100000,100000,0,1000,0.0000
100000,0.000000010000,3744.1641,27,192.577651ms,156.040304ms,100000,100000,0,1000,0.0000
100000,0.000000001000,4212.1846,30,177.715475ms,156.852663ms,100000,100000,0,1000,0.0000
100000,0.000000000100,4680.2051,34,194.054364ms,156.002587ms,100000,100000,0,1000,0.0000
