capacity,errorRate,m,k,insertTime,checkTime,hits,insertCount,falsePositives,testSize,falsePositiveRate
1000000,0.100000000000,4680.2051,4,1.516083633s,1.301313893s,1000000,1000000,40,1000,0.0400
1000000,0.095238095238,4779.3750,4,1.615256991s,1.239631534s,1000000,1000000,52,1000,0.0520
1000000,0.090702947846,4878.5449,4,1.39380382s,1.256783981s,1000000,1000000,41,1000,0.0410
1000000,0.086383759853,4977.7158,4,1.506901527s,1.466003045s,1000000,1000000,47,1000,0.0470
1000000,0.082270247479,5076.8857,4,1.590753251s,1.631269422s,1000000,1000000,47,1000,0.0470
1000000,0.078352616647,5176.0557,4,1.622544751s,1.43374357s,1000000,1000000,44,1000,0.0440
1000000,0.074621539664,5275.2266,4,1.380904596s,1.390265908s,1000000,1000000,46,1000,0.0460
1000000,0.071068133013,5374.3965,4,1.416193033s,1.341519554s,1000000,1000000,34,1000,0.0340
1000000,0.067683936203,5473.5664,4,1.457456659s,1.314847418s,1000000,1000000,30,1000,0.0300
1000000,0.064460891622,5572.7373,4,1.721380284s,1.717834456s,1000000,1000000,39,1000,0.0390
1000000,0.061391325354,5671.9072,5,1.586814027s,1.43817833s,1000000,1000000,28,1000,0.0280
1000000,0.058467928909,5771.0771,5,1.674519062s,1.599466874s,1000000,1000000,30,1000,0.0300
1000000,0.055683741818,5870.2480,5,1.508685902s,1.347458969s,1000000,1000000,27,1000,0.0270
1000000,0.053032135065,5969.4180,5,1.462969454s,1.4028618s,1000000,1000000,25,1000,0.0250
1000000,0.050506795300,6068.5879,5,1.563805701s,1.374201625s,1000000,1000000,31,1000,0.0310
1000000,0.048101709809,6167.7588,5,1.451910449s,1.570366392s,1000000,1000000,27,1000,0.0270
1000000,0.045811152199,6266.9287,5,1.645206312s,1.381580113s,1000000,1000000,30,1000,0.0300
1000000,0.043629668761,6366.0986,5,1.519738858s,1.376507059s,1000000,1000000,27,1000,0.0270
1000000,0.041552065487,6465.2695,5,1.429418494s,1.320183641s,1000000,1000000,16,1000,0.0160
1000000,0.039573395702,6564.4395,5,1.450531693s,1.32937073s,1000000,1000000,21,1000,0.0210
1000000,0.037688948287,6663.6094,5,1.47076701s,1.34729437s,1000000,1000000,10,1000,0.0100
1000000,0.035894236464,6762.7803,5,1.411446084s,1.389905441s,1000000,1000000,17,1000,0.0170
1000000,0.034184987109,6861.9502,5,1.46143904s,1.338578862s,1000000,1000000,20,1000,0.0200
1000000,0.032557130580,6961.1201,5,1.66285705s,1.628604303s,1000000,1000000,13,1000,0.0130
1000000,0.031006791028,7060.2910,6,1.721632677s,1.383663055s,1000000,1000000,16,1000,0.0160
1000000,0.029530277170,7159.4609,6,1.515666759s,1.401780874s,1000000,1000000,14,1000,0.0140
1000000,0.028124073495,7258.6309,6,1.465496052s,1.304358709s,1000000,1000000,11,1000,0.0110
1000000,0.026784831900,7357.8018,6,1.546609397s,1.368081758s,1000000,1000000,16,1000,0.0160
1000000,0.025509363714,7456.9717,6,1.477988275s,1.506915185s,1000000,1000000,14,1000,0.0140
1000000,0.024294632109,7556.1416,6,2.275155692s,2.374635844s,1000000,1000000,7,1000,0.0070
1000000,0.023137744866,7655.3125,6,2.091573057s,1.840757069s,1000000,1000000,11,1000,0.0110
1000000,0.022035947491,7754.4824,6,2.396664193s,1.485862138s,1000000,1000000,9,1000,0.0090
1000000,0.020986616658,7853.6523,6,1.472729929s,1.368083556s,1000000,1000000,8,1000,0.0080
1000000,0.019987253960,7952.8232,6,1.514325322s,1.322720505s,1000000,1000000,9,1000,0.0090
1000000,0.019035479962,8051.9932,6,1.492075365s,1.289918862s,1000000,1000000,10,1000,0.0100
1000000,0.018129028535,8151.1631,6,1.458732821s,1.422597675s,1000000,1000000,12,1000,0.0120
1000000,0.017265741462,8250.3340,6,1.43983373s,1.321090602s,1000000,1000000,10,1000,0.0100
