capacity,errorRate,m,k,insertTime,checkTime,hits,insertCount,falsePositives,testSize,falsePositiveRate
10000,0.001000000000,140.4062,10,2.863171ms,5.363841ms,1000,1000,0,1000,0.0000
10000,0.001000000000,140.4062,10,5.107314ms,7.688128ms,2000,2000,0,1000,0.0000
10000,0.001000000000,140.4062,10,6.638734ms,8.197153ms,3000,3000,0,1000,0.0000
10000,0.001000000000,140.4062,10,8.257798ms,10.038934ms,4000,4000,0,1000,0.0000
10000,0.001000000000,140.4062,10,10.257326ms,10.627096ms,5000,5000,0,1000,0.0000
10000,0.001000000000,140.4062,10,11.542749ms,10.584994ms,6000,6000,0,1000,0.0000
10000,0.001000000000,140.4062,10,9.982036ms,12.121765ms,7000,7000,0,1000,0.0000
10000,0.001000000000,140.4062,10,12.550685ms,14.23075ms,8000,8000,0,1000,0.0000
10000,0.001000000000,140.4062,10,16.293644ms,17.859711ms,9000,9000,0,1000,0.0000
10000,0.001000000000,140.4062,10,16.160866ms,14.92896ms,10000,10000,1,1000,0.0010
10000,0.001000000000,140.4062,10,16.414706ms,17.626746ms,11000,11000,1,1000,0.0010
10000,0.001000000000,140.4062,10,18.129172ms,17.584796ms,12000,12000,1,1000,0.0010
10000,0.001000000000,140.4062,10,18.759358ms,19.220213ms,13000,13000,1,1000,0.0010
10000,0.001000000000,140.4062,10,22.523593ms,20.971046ms,14000,14000,1,1000,0.0010
10000,0.001000000000,140.4062,10,22.763192ms,22.880648ms,15000,15000,1,1000,0.0010
10000,0.001000000000,140.4062,10,25.39142ms,29.604791ms,16000,16000,1,1000,0.0010
10000,0.001000000000,140.4062,10,28.326415ms,27.570723ms,17000,17000,1,1000,0.0010
10000,0.001000000000,140.4062,10,28.023762ms,28.133202ms,18000,18000,1,1000,0.0010
10000,0.001000000000,140.4062,10,29.527763ms,28.151998ms,19000,19000,1,1000,0.0010
10000,0.001000000000,140.4062,10,30.59154ms,28.424261ms,20000,20000,1,1000,0.0010
